Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
3F5,0200,3F5,0000,000,0000,000,0000,0000,004,0100
3F5,0200,3F6,0200,3F5,0200,000,03F5,0000,004,0100
3F6,EEFD,3F7,EEFD,3F4,0000,000,FFFD,0000,004,0100,3F4,0000
3F7,AF04,3F8,AF04,3F7,0004,000,0004,0004,000,0000
3F8,EEFA,3F9,EEFA,3F3,0004,000,FFFA,0004,000,0000,3F3,0004
3F9,4EF7,3FA,4EF7,3F1,0406,000,FFF7,040A,000,0000
3FA,EEF7,3FB,EEF7,3F2,040A,000,FFF7,040A,000,0000,3F2,040A
3FB,ABF6,3FC,ABF6,409,D00D,000,FFF6,D00D,008,1000,3F2,0409
3FC,0480,3FD,0480,3FC,0480,000,03FC,6806,003,0011
3FD,F405,403,F405,3FD,F405,000,0005,6806,003,0011
403,83F3,404,83F3,3F3,0003,000,0002,6806,003,0011,3F3,0003
404,CEF6,3FB,CEF6,404,03FB,000,FFF6,6806,003,0011
3FB,ABF6,3FC,ABF6,408,DEAD,000,FFF6,DEAD,009,1001,3F2,0408
3FC,0480,3FD,0480,3FC,0480,000,03FC,EF56,009,1001
3FD,F405,403,F405,3FD,F405,000,0005,EF56,009,1001
403,83F3,404,83F3,3F3,0002,000,0001,EF56,009,1001,3F3,0002
404,CEF6,3FB,CEF6,404,03FB,000,FFF6,EF56,009,1001
3FB,ABF6,3FC,ABF6,407,0000,000,FFF6,0000,005,0101,3F2,0407
3FC,0480,3FD,0480,3FC,0480,000,03FC,8000,00A,1010
3FD,F405,3FE,F405,3FD,F405,000,03FD,8000,00A,1010
3FE,0480,3FF,0480,3FE,0480,000,03FE,4000,000,0000
3FF,F403,400,F403,3FF,F403,000,03FF,4000,000,0000
400,0400,401,0400,400,0400,000,0400,8000,00A,1010
401,0400,402,0400,401,0400,000,0401,0000,007,0111
402,AAF1,403,AAF1,000,0000,000,FFF1,0000,005,0101,3F4,0001
403,83F3,404,83F3,3F3,0001,000,0000,0000,005,0101,3F3,0001
404,CEF6,3FB,CEF6,404,03FB,000,FFF6,0000,005,0101
3FB,ABF6,3FC,ABF6,406,0004,000,FFF6,0004,001,0001,3F2,0406
3FC,0480,3FD,0480,3FC,0480,000,03FC,8002,00A,1010
3FD,F405,3FE,F405,3FD,F405,000,03FD,8002,00A,1010
3FE,0480,3FF,0480,3FE,0480,000,03FE,4001,000,0000
3FF,F403,400,F403,3FF,F403,000,03FF,4001,000,0000
400,0400,401,0400,400,0400,000,0400,8002,00A,1010
401,0400,402,0400,401,0400,000,0401,0004,003,0011
402,AAF1,403,AAF1,001,0000,000,FFF1,0000,005,0101,3F4,0002
403,83F3,405,83F3,3F3,0000,000,FFFF,0000,005,0101,3F3,0000
405,0100,406,0100,405,0100,000,0405,0000,005,0101
